chargerId;vehicleId;linkId;waitStartTime;waitEndTime;waitDuration;chargeStartTime;chargeEndTime;chargingDuration;energyTransmitted_kWh
514;3;3202;00:00:00;00:00:00;00:00:00;09:01:44;09:05:04;00:03:20;0.3
505;5;206;00:00:00;00:00:00;00:00:00;09:08:14;09:22:04;00:13:50;1.1
430;8;2730;00:00:00;00:00:00;00:00:00;09:00:09;09:29:39;00:29:30;2.5
477;1;347;00:00:00;00:00:00;00:00:00;09:05:39;09:45:24;00:39:45;3.3
98;8;2713;00:00:00;00:00:00;00:00:00;10:30:09;10:30:14;00:00:05;0.0
144;5;4323;00:00:00;00:00:00;00:00:00;10:42:09;10:47:29;00:05:20;0.4
480;3;3169;00:00:00;00:00:00;00:00:00;10:37:04;10:49:44;00:12:40;1.1
449;8;2720;00:00:00;00:00:00;00:00:00;12:00:09;12:00:14;00:00:05;0.0
774;3;3170;00:00:00;00:00:00;00:00:00;12:07:04;12:07:24;00:00:20;0.0
345;5;2217;00:00:00;00:00:00;00:00:00;12:13:34;12:16:04;00:02:30;0.2
46;8;2719;00:00:00;00:00:00;00:00:00;13:30:14;13:30:19;00:00:05;0.0
606;3;3178;00:00:00;00:00:00;00:00:00;13:39:39;13:43:49;00:04:10;0.3
486;5;4211;00:00:00;00:00:00;00:00:00;13:49:39;14:03:44;00:14:05;1.2
88;8;2705;00:00:00;00:00:00;00:00:00;15:00:19;15:00:24;00:00:05;0.0
685;3;3172;00:00:00;00:00:00;00:00:00;15:09:39;15:09:54;00:00:15;0.0
733;5;3194;00:00:00;00:00:00;00:00:00;15:25:34;15:38:29;00:12:55;1.1
417;8;2717;00:00:00;00:00:00;00:00:00;16:30:19;16:30:24;00:00:05;0.0
362;3;1045;00:00:00;00:00:00;00:00:00;16:40:54;16:42:59;00:02:05;0.2
139;5;1079;00:00:00;00:00:00;00:00:00;17:00:44;17:12:49;00:12:05;1.0
207;8;2703;00:00:00;00:00:00;00:00:00;18:00:19;18:00:24;00:00:05;0.0
5;3;197;00:00:00;00:00:00;00:00:00;18:12:14;18:14:39;00:02:25;0.2
1;1;3698;00:00:00;00:00:00;00:00:00;18:04:09;18:20:04;00:15:55;1.3
602;5;2475;00:00:00;00:00:00;00:00:00;18:32:54;18:34:49;00:01:55;0.2
229;8;2744;00:00:00;00:00:00;00:00:00;19:30:24;19:30:29;00:00:05;0.0
725;3;3208;00:00:00;00:00:00;00:00:00;19:44:24;19:48:19;00:03:55;0.3
328;5;1103;00:00:00;00:00:00;00:00:00;20:03:44;20:05:54;00:02:10;0.2
171;8;2753;00:00:00;00:00:00;00:00:00;21:00:24;21:00:29;00:00:05;0.0
289;3;3175;00:00:00;00:00:00;00:00:00;21:15:59;21:19:04;00:03:05;0.3
519;5;2910;00:00:00;00:00:00;00:00:00;21:34:39;21:36:44;00:02:05;0.2
307;8;2746;00:00:00;00:00:00;00:00:00;22:30:24;22:30:29;00:00:05;0.0
716;3;4202;00:00:00;00:00:00;00:00:00;22:46:04;22:46:19;00:00:15;0.0
122;5;3297;00:00:00;00:00:00;00:00:00;23:08:54;23:17:34;00:08:40;0.7
