chargerId;vehicleId;linkId;waitStartTime;waitEndTime;waitDuration;chargeStartTime;chargeEndTime;chargingDuration;energyTransmitted_kWh
69;9;4548;00:00:00;00:00:00;00:00:00;09:00:04;09:00:09;00:00:05;0.0
727;4;2791;00:00:00;00:00:00;00:00:00;09:00:04;09:00:09;00:00:05;0.0
477;1;347;00:00:00;00:00:00;00:00:00;09:05:39;09:17:39;00:12:00;1.0
109;2;3237;00:00:00;00:00:00;00:00:00;09:04:59;09:18:59;00:14:00;1.0
320;7;3939;00:00:00;00:00:00;00:00:00;09:08:34;09:22:09;00:13:35;1.1
505;5;206;00:00:00;00:00:00;00:00:00;09:08:14;09:53:09;00:44:55;3.7
34;9;4540;00:00:00;00:00:00;00:00:00;10:30:14;10:30:19;00:00:05;0.0
515;4;1174;00:00:00;00:00:00;00:00:00;10:30:09;10:30:19;00:00:10;0.0
358;7;104;00:00:00;00:00:00;00:00:00;10:38:49;10:39:04;00:00:15;0.0
144;5;4323;00:00:00;00:00:00;00:00:00;10:42:09;10:47:29;00:05:20;0.4
581;4;2836;00:00:00;00:00:00;00:00:00;12:00:09;12:00:14;00:00:05;0.0
589;9;3031;00:00:00;00:00:00;00:00:00;12:00:19;12:00:24;00:00:05;0.0
4;7;105;00:00:00;00:00:00;00:00:00;12:08:54;12:08:59;00:00:05;0.0
345;5;2217;00:00:00;00:00:00;00:00:00;12:13:34;12:16:04;00:02:30;0.2
576;7;107;00:00:00;00:00:00;00:00:00;13:38:59;13:39:09;00:00:10;0.0
436;4;1157;00:00:00;00:00:00;00:00:00;13:36:44;13:51:29;00:14:45;1.2
486;5;4211;00:00:00;00:00:00;00:00:00;13:49:39;14:03:44;00:14:05;1.2
705;9;655;00:00:00;00:00:00;00:00:00;13:41:49;14:06:09;00:24:20;2.0
568;4;2818;00:00:00;00:00:00;00:00:00;15:06:44;15:06:54;00:00:10;0.0
173;7;108;00:00:00;00:00:00;00:00:00;15:09:04;15:09:09;00:00:05;0.0
733;5;3194;00:00:00;00:00:00;00:00:00;15:25:34;15:38:29;00:12:55;1.1
286;9;654;00:00:00;00:00:00;00:00:00;15:23:34;15:47:59;00:24:25;2.0
718;4;1851;00:00:00;00:00:00;00:00:00;16:36:44;16:36:54;00:00:10;0.0
138;7;109;00:00:00;00:00:00;00:00:00;16:39:04;16:39:09;00:00:05;0.0
139;5;1079;00:00:00;00:00:00;00:00:00;17:00:44;17:12:49;00:12:05;1.0
302;9;1607;00:00:00;00:00:00;00:00:00;17:05:19;17:29:49;00:24:30;2.0
246;7;229;00:00:00;00:00:00;00:00:00;18:09:09;18:09:14;00:00:05;0.0
687;2;3279;00:00:00;00:00:00;00:00:00;18:04:09;18:15:04;00:10:55;0.9
1;1;3698;00:00:00;00:00:00;00:00:00;18:04:09;18:20:04;00:15:55;1.3
231;4;2833;00:00:00;00:00:00;00:00:00;18:12:04;18:21:54;00:09:50;0.8
602;5;2475;00:00:00;00:00:00;00:00:00;18:32:54;18:34:49;00:01:55;0.2
470;9;661;00:00:00;00:00:00;00:00:00;18:48:24;19:19:54;00:31:30;2.6
520;7;3963;00:00:00;00:00:00;00:00:00;19:39:14;19:39:19;00:00:05;0.0
395;4;1854;00:00:00;00:00:00;00:00:00;19:48:39;20:03:29;00:14:50;1.2
328;5;1103;00:00:00;00:00:00;00:00:00;20:03:44;20:05:54;00:02:10;0.2
263;9;669;00:00:00;00:00:00;00:00:00;20:29:54;20:57:19;00:27:25;2.3
505;7;206;00:00:00;00:00:00;00:00:00;21:15:34;21:27:04;00:11:30;1.0
620;4;1856;00:00:00;00:00:00;00:00:00;21:23:59;21:33:49;00:09:50;0.8
519;5;2910;00:00:00;00:00:00;00:00:00;21:34:39;21:36:44;00:02:05;0.2
338;9;663;00:00:00;00:00:00;00:00:00;22:11:44;22:36:39;00:24:55;2.1
483;7;3960;00:00:00;00:00:00;00:00:00;22:47:59;22:50:29;00:02:30;0.2
169;4;2807;00:00:00;00:00:00;00:00:00;22:57:39;23:04:14;00:06:35;0.5
122;5;3297;00:00:00;00:00:00;00:00:00;23:08:54;23:17:34;00:08:40;0.7
755;9;510;00:00:00;00:00:00;00:00:00;23:41:49;23:42:09;00:00:20;0.0
